Book Name,Price,Availability,Product URL,Rating,Price_Clean,Rating_Clean,Price_Category
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,In stock,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Three,57.25,3,High
Olio,Â£23.88,In stock,olio_984/index.html,One,23.88,1,Medium
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,In stock,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,One,37.59,1,Medium
Libertarianism for Beginners,Â£51.33,In stock,libertarianism-for-beginners_982/index.html,Two,51.33,2,High
It's Only the Himalayas,Â£45.17,In stock,its-only-the-himalayas_981/index.html,Two,45.17,2,High
In Her Wake,Â£12.84,In stock,in-her-wake_980/index.html,One,12.84,1,Low
How Music Works,Â£37.32,In stock,how-music-works_979/index.html,Two,37.32,2,Medium
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,In stock,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Three,30.52,3,Medium
Chase Me (Paris Nights #2),Â£25.27,In stock,chase-me-paris-nights-2_977/index.html,Five,25.27,5,Medium
Black Dust,Â£34.53,In stock,black-dust_976/index.html,Five,34.53,5,Medium
Birdsong: A Story in Pictures,Â£54.64,In stock,birdsong-a-story-in-pictures_975/index.html,Three,54.64,3,High
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,In stock,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,Three,22.5,3,Medium
Aladdin and His Wonderful Lamp,Â£53.13,In stock,aladdin-and-his-wonderful-lamp_973/index.html,Three,53.13,3,High
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,In stock,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Five,40.3,5,High
Wall and Piece,Â£44.18,In stock,wall-and-piece_971/index.html,Four,44.18,4,High
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,In stock,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,Five,17.66,5,Low
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,In stock,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Three,31.05,3,Medium
The Elephant Tree,Â£23.82,In stock,the-elephant-tree_968/index.html,Five,23.82,5,Medium
The Bear and the Piano,Â£36.89,In stock,the-bear-and-the-piano_967/index.html,One,36.89,1,Medium
Sophie's World,Â£15.94,In stock,sophies-world_966/index.html,Five,15.94,5,Low
Penny Maybe,Â£33.29,In stock,penny-maybe_965/index.html,Three,33.29,3,Medium
Maude (1883-1993):She Grew Up with the country,Â£18.02,In stock,maude-1883-1993she-grew-up-with-the-country_964/index.html,Two,18.02,2,Low
"In a Dark, Dark Wood",Â£19.63,In stock,in-a-dark-dark-wood_963/index.html,One,19.63,1,Low
Behind Closed Doors,Â£52.22,In stock,behind-closed-doors_962/index.html,Four,52.22,4,High
You can't bury them all: Poems,Â£33.63,In stock,you-cant-bury-them-all-poems_961/index.html,Two,33.63,2,Medium
Slow States of Collapse: Poems,Â£57.31,In stock,slow-states-of-collapse-poems_960/index.html,Three,57.31,3,High
Reasons to Stay Alive,Â£26.41,In stock,reasons-to-stay-alive_959/index.html,Two,26.41,2,Medium
Private Paris (Private #10),Â£47.61,In stock,private-paris-private-10_958/index.html,Five,47.61,5,High
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,In stock,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,Five,23.11,5,Medium
Without Borders (Wanderlove #1),Â£45.07,In stock,without-borders-wanderlove-1_956/index.html,Two,45.07,2,High
When We Collided,Â£31.77,In stock,when-we-collided_955/index.html,One,31.77,1,Medium
"We Love You, Charlie Freeman",Â£50.27,In stock,we-love-you-charlie-freeman_954/index.html,Five,50.27,5,High
Untitled Collection: Sabbath Poems 2014,Â£14.27,In stock,untitled-collection-sabbath-poems-2014_953/index.html,Four,14.27,4,Low
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,In stock,unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,Four,44.18,4,High
Unicorn Tracks,Â£18.78,In stock,unicorn-tracks_951/index.html,Three,18.78,3,Low
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,In stock,unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,One,25.52,1,Medium
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,In stock,tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,One,16.28,1,Low
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,In stock,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Three,31.12,3,Medium
This One Summer,Â£19.49,In stock,this-one-summer_947/index.html,Four,19.49,4,Low
Thirst,Â£17.27,In stock,thirst_946/index.html,Five,17.27,5,Low
The Torch Is Passed: A Harding Family Story,Â£19.09,In stock,the-torch-is-passed-a-harding-family-story_945/index.html,One,19.09,1,Low
The Secret of Dreadwillow Carse,Â£56.13,In stock,the-secret-of-dreadwillow-carse_944/index.html,One,56.13,1,High
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,In stock,the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,One,56.41,1,High
The Past Never Ends,Â£56.50,In stock,the-past-never-ends_942/index.html,Four,56.5,4,High
The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,In stock,the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,Three,45.22,3,High
The Nameless City (The Nameless City #1),Â£38.16,In stock,the-nameless-city-the-nameless-city-1_940/index.html,Four,38.16,4,Medium
The Murder That Never Was (Forensic Instincts #5),Â£54.11,In stock,the-murder-that-never-was-forensic-instincts-5_939/index.html,Three,54.11,3,High
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â£42.96,In stock,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,Four,42.96,4,High
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â£23.89,In stock,the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,Four,23.89,4,Medium
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,In stock,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,Three,16.77,3,Low
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,In stock,the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,Five,20.59,5,Medium
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,In stock,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,One,37.13,1,Medium
The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,In stock,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,One,56.06,1,High
The Death of Humanity: and the Case for Life,Â£58.11,In stock,the-death-of-humanity-and-the-case-for-life_932/index.html,Four,58.11,4,High
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â£49.05,In stock,the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,Three,49.05,3,High
The Art Forger,Â£40.76,In stock,the-art-forger_930/index.html,Three,40.76,3,High
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Â£19.73,In stock,the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,One,19.73,1,Low
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Â£32.24,In stock,the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,Five,32.24,5,Medium
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,In stock,spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,Four,41.83,4,High
Soul Reader,Â£39.58,In stock,soul-reader_926/index.html,Two,39.58,2,Medium
Security,Â£39.25,In stock,security_925/index.html,Two,39.25,2,Medium
"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,In stock,saga-volume-6-saga-collected-editions-6_924/index.html,Three,25.02,3,Medium
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,In stock,saga-volume-5-saga-collected-editions-5_923/index.html,Two,51.04,2,High
Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,In stock,reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,Two,19.83,2,Low
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,In stock,rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Three,50.4,3,High
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,In stock,princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Five,13.61,5,Low
Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,In stock,princess-between-worlds-wide-awake-princess-5_919/index.html,Five,13.34,5,Low
"Pop Gun War, Volume 1: Gift",Â£18.97,In stock,pop-gun-war-volume-1-gift_918/index.html,One,18.97,1,Low
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Â£36.28,In stock,political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,Two,36.28,2,Medium
Patience,Â£10.16,In stock,patience_916/index.html,Three,10.16,3,Low
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,In stock,outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Four,15.44,4,Low
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,In stock,orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,One,48.41,1,High
Online Marketing for Busy Authors: A Step-By-Step Guide,Â£46.35,In stock,online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,One,46.35,1,High
On a Midnight Clear,Â£14.07,In stock,on-a-midnight-clear_912/index.html,Three,14.07,3,Low
Obsidian (Lux #1),Â£14.86,In stock,obsidian-lux-1_911/index.html,Two,14.86,2,Low
My Paris Kitchen: Recipes and Stories,Â£33.37,In stock,my-paris-kitchen-recipes-and-stories_910/index.html,Two,33.37,2,Medium
Masks and Shadows,Â£56.40,In stock,masks-and-shadows_909/index.html,Two,56.4,2,High
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â£14.02,In stock,mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,Four,14.02,4,Low
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,In stock,lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Two,46.91,2,High
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,In stock,lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Three,45.61,3,High
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,In stock,lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Two,19.92,2,Low
"Layered: Baking, Building, and Styling Spectacular Cakes",Â£40.11,In stock,layered-baking-building-and-styling-spectacular-cakes_904/index.html,One,40.11,1,High
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Â£53.90,In stock,judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,Two,53.9,2,High
Join,Â£35.67,In stock,join_902/index.html,Five,35.67,5,Medium
In the Country We Love: My Family Divided,Â£22.00,In stock,in-the-country-we-love-my-family-divided_901/index.html,Four,22.0,4,Medium
